дария	river
gorora	make straight
gorora	straighten
gorora	iron
gororera	reward
gororera	recompense
gororoka	become straight
gororoka	be flexible
gorwa	unfortunate
gorwa	unlucky
gota	encircle
gota	surround
guma	stay
guma	remain
gumana	stay with
gumana	remain with
gura	buy
gura	purchase
gurana	exchange
gurana	swap
gurira	buy for
gurira	buy from
gurisha	sell
gurishwa	sold
guruka	fly
gurwa	bought
gusha	cause to fall
gusha	take down
guza	borrow
guza	lend
gwa	fall
gwa gitumo	catch red-handed
gwa isari	faint
gwa isari	be tired
gwa ivutu	overeat
gwa ivutu	eat too much
gwa nabi	badly behaved
gwa neza	well behaved
gwira	accumulated
gwira	multiplied
ha	give to
haba	lost
habwa	given
habwa	receive
haga	full
haga	satisfied
hagarara	stop
hagarara	stand
hagararira	represent
hagararira	stand in for
haguruka	stand up
haguruka	arise
haha	exchange
hahamuka	traumatised
haka	pregnant
hakana	deny
hakana	refuse
hakana	reject
hama	remain
hama	stay
hamagara	call
hamba	bury
hambira	tie up
hambira	bind
hambira	wrap
hambuka	loose
hambura	untie
hambura	unwrap
hambwa	buried
hamiriza	testify to
hamuka	cowardly
hamya	witness
hamya	testify
hamya	affirm
hamya	authenticate
hana	correct
hana	reprimand
hanagura	rub
hanagura	polish
hanagura	wipe
hanagura	dust
hanga	introduce
hanga	invent
hanga	create
hanga	famous
hanga	come into fashion
hangana	oppose
hangayika	worry
hangayika	be anxious
hangayika	worried
hangwa	created by
hanika	put above
hanuka	plummet
hanura	pull down
hanura	prophesy
hanura	warn
hanura	scold
hanwa	corrected
hanwa	reprimanded
hara	give up
haranira	strive for
harura	scrape
harura	scratch
hata	force
hata	compel
hatwa	forced
hatwa	compelled
haza	satisfy
haza	be sufficient
haza	enough
hebuza	exceed
hebuza	be superior
heheta	lust
heka	carry
heka	transport
hekenya	chew
hekenywa	chewed
hemba	reward
hembwa	earn
hembwa	rewarded
hemuka	unfaithful
hemuka	fail
hemura	abuse
hemurwa	abused
henda	overcharge
henda	be expensive
henda	deceive
hendahenda	beg
hendahenda	beseech
hendahenda	plead
henduka	cheap
hendwa	overcharged
hera	end
hera	cease
hera	disappear
hera	last
hera	start from
herekeza	accompany
herekeza	escort
hererana	near
hererana	beside
hererekanya	convey
hererekanya	transmit
heruka	last
heruka	come last
heta	bend
heza	send away
higa	hunt
higa	vow
higa	promise
himba	invent
himba	write
himba	author
himbaza	praise
hina	shorten
hina	summarize
hina	sum up
hina	crouch
hinda	thunder
hinda	rumble
hinduka	become
hinduka	be changed
hindukira	turn around
hindukira	come back
hindura	change
hindura	edit
hindura	alter
hindurwa	changed
hindurwa	edited
hinga	grow
hinga	cultivate
hinga	dig
hinguka	arrive
hinguka	emerge
hingutsa	cause to arrive
hingutsa	summon
hingutsa	place
hinyuka	displease
hinyuka	disappoint
hinyura	scorn
hinyura	criticize
hirika	overturn
hirika	push away
hirika	overthrow
hirika	oust
hirwa	lucky
hirwa	blessed
hirwa	fortunate
hisha	hide
hisha	conceal
hisha	ripen
hisha	burn
hishura	reveal
hita	pass by
hitamo	select
hitamo	choose
hitamo	pick
hitwa	have diarrhoea
hobera	embrace
hoberana	embrace each other
homa	plaster
homba	lose
homba	suffer loss
homboka	speak without thinking
honda	beat
hondagura	knock down
hondagura	smash
honga	wilt
honga	bribe
hongerera	atone
honoka	survive
hora	always
hora	continually
hora	avenge
hora	become cold
hora	cool
hora	become quiet
hora	stop crying
horota	lose weight
hosha	stop
hosha	prevent
hosha	quell
hoza	cool
hubuka	crowd
huga	busy
huga	occupied
huga	distracted
hugira	busy
hugira	occupied with
huguka	intelligent
huguka	skilled
huguka	capable
huguka	free
hugura	arouse
hugura	inform
hugurwa	aroused
hugurwa	informed
huha	blow
huhwa	light in weight
huma	blind
huma	howl
humanuka	become clean
humanya	defile
humeka	breathe
humekwa	inspired
humiriza	close one’s eyes
humuka	regain sight
humura	smell good
humura	calm
humuriza	comfort
humuriza	console
humuriza	encourage
humurizwa	comforted
humurizwa	be consoled
humuza	flavour
humuza	concluded
humuza	ended
hunga	flee
hunikira	nod off
hunikira	doze
hunyiza	nod off
hunyiza	doze
hura	meet
hurura	charge
hurura	rescue
huza	bring together
huza	mediate
huza	associate
huza	connect
huza	harmonise
hwema	cease
hwema	grow weary
hwema	rest
hwema	relax
iba	steal
iba	steal from
ibagirwa	forget
ibana	live alone
ibanda	concentrate on
ibeshya	err
ibeshya	make a mistake
ibiza	dip in water
ibona	proud
ibuka	remember
ibuka	recall
iburanya	question
iburanya	reason about
ibutsa	remind
ibwira	think about
ica	kill
ica	pick
icara	sit
icaza	cause to sit
icira	kill for
icuma	go ahead
icuma	move on
icunda	swing
icwa	killed
idagadura	enjoy oneself
idagadura	have fun
ifasha	help oneself
ifashisha	help oneself to
ifashisha	use
ifata	abstain
ifubika	cover oneself
ifuza	wish
ifuza	desire
ifuzwa	desired
iga	study
iga	learn
igana	imitate
iganyira	worry
iganyira	be anxious
iganyira	worried
igaragambya	riot
igaragambya	demonstrate
igaya	ashamed
igenga	independent
igerezaho	dare
igisha	teach
igishwa	taught
igomwa	give up
igomwa	sacrifice
igomwa	fast
ihana	repent
ihana	confess
ihanangiriza	warn
ihanangiriza	threaten
ihandagaza	apparent
ihandagaza	obvious
ihangana	patient
ihangana	endure
iharira	special
iheba	despair
iherera	alone
ihorera	silent
ihorera	leave someone alone
ihugura	find out
ihugura	learn
ihugura	discover
ihugura	be informed
ihuta	hurry
ihuta	go quickly
ijima	dark
ijima	get dark
ijujuta	murmur
ikanga	startled
ikanyiza	selfish
ikanyiza	stingy
ikira	board a ship
ikorera	carry
ikorera	carry on head
ikunda	selfish
ima	withhold
ima	refuse to give
ima	enthroned
imenya	know oneself
imuka	move
imuka	change residence
imuka	relocate
imura	move
imura	shift
imura	postpone
inezeza	please oneself
inezeza	enjoy oneself
inginga	beg
inginga	beseech
inginga	plead with
injira	enter
inuba	complain
inuba	grumble
irabura	black
irabura	mourn
irata	boast
irengagiza	neglect
irengagiza	overlook
irengagiza	procrastinate
irengera	take responsibility for
irengera	ascend
irenza	get rid of
irinda	beware
irinda	be careful
irinda	avoid
iringira	trust
iringira	rely on
iringira	hope
iringira	expect
irirwa	spend the day
iroha	rush upon
iroha	push
iruka	run
irukana	chase
irukana	run after
irukanka	run
isegura	excuse oneself
isegura	apologize
ishima	happy
ishima	glad
ishima	scratch oneself
ishingana	insure
ishisha	mistrust
ishyanura	show off
ishyura	pay
isukura	wash
isukura	cleanse
isumbura	higher
isuzuma	examine oneself
ita	call
ita	name
ita	pay attention to
ita	attend
ita	care for
itaba	respond
itanga	give oneself
itarura	separate oneself
itarura	distance oneself
itega	wait for
itegereza	study
itegura	prepare oneself
itema	cut oneself
itonda	careful
itonda	cautious
itonda	gentle
itondera	observe
itondera	obey
itondera	keep
itondera	pay attention to
itonganya	fuss
itonganya	complain
itonganya	blame oneself
itotomba	complain
itoza	exercise
itoza	practise
itsamura	sneeze
ituma	relieve oneself
itura	repay
itwa	called
itwa	named
itwararika	concerned about
iyama	rebuke
iyama	warn
iyamamaza	campaign
iyandikisha	register oneself
iyereka	show oneself
iyereka	exercise
iyibuka	remember oneself
iyiriza ubusa	fast
iyoza	clean oneself
iyubaha	respect oneself
iyuhagira	wash oneself
iyuhagira	shower
iyumvira	think about
iyunga	reconcile
iyunga	unite
iyunga	join
izera	hope
izera	believe
izera	have faith
izihiza	celebrate
jabika	dip in water
jegajega	shake
jegajega	move
jijuka	informed
jijuka	knowledgeable
jijura	instruct
jijura	enlighten
jijwa	not know
jijwa	be ignorant of
jugunya	throw away
jugunya	discard
jujubya	attack
jujubya	conquer
jujubya	pester
jya	go to
jya	continually
jyana	take
kabya	exaggerate
kabya	be too much
kama	milk
kama	dry up
kama	stop bleeding
kambakamba	crawl
kamura	wring out
kanda	click
kandagira	tread on
kanga	startle
kanga	frighten
kanga	threaten
kangara	warn
kangara	threaten
kangisha	threaten
kanguka	awake
kangura	awaken
kangurwa	awoken
kanura	open one’s eyes
karaba	wash one’s hands
karanga	fry
kata	cut
kata	turn
kata	have sex
kataza	hurry
kataza	go quickly
kayuka	lose flavour
kaza	tighten
keka	suspect
keka	suppose
keka	think
kemwa	tempted
kena	poor
kena	needy
kenera	need
kenga	mistrust
kera	saw
kerensa	understate
kerensa	belittle
kerensa	underestimate
kerereza	make late
kererwa	late
kiganyire	worried
kikiza	surround
kina	play
kinana	play with
kinda	rape
kinga	close
kinga	shut
kinga	lock
kinga	intercept
kinga	block
kingiriza	obscure
kingura	open
kingura	unlock
kinisha	cause to play
kira	get well
kira	be healed
kira	be rich
kiranirwa	wicked
kiranuka	righteous
kiranuka	just
kirigita	tickle
kirigitwa	tickled
kiza	save
kiza	heal
kiza	intervene
kiza	interpose
kizwa	saved
kizwa	healed
kodesha	hire
kodesha	rent
kodesha	lease
koloniza	colonize
koma	prevent
koma	hinder
koma	stop
komanga	knock
komatanya	tag
komera	strong
komera	great
komera	difficult
komera	hard
komera	be strong
komereka	injured
komereka	wounded
komereka	hurt
komeza	continue
komeza	carry on
komeza	make strong
komoka	descended from
komoka	originate from
komoka	be derived from
kongeza	light
kongeza	set alight
kongeza	set on fire
konja	cold
konja	damp
kopera	copy
kopera	cheat
koporora	copy
kora	do
kora	work
kora	fix
kora	repair
korana	work together
koranya	gather together
korera	work at
korera	work for
koresha	use
koresha	employ
koresha	fix
koreshwa	used
koreshwa	fixed
korora	cough
korwa	done
korwa	made
korwa	choke on
kuba	multiply
kubagana	mess around
kubita	beat
kubita	hit
kubita	strike
kubura	sweep
kuka	come apart
kuka	be dislocated
kumbura	miss
kumbura	I miss you
kumira	prevent
kumira	suppress
kumira	limit
kuna	elongate
kunda	like
kunda	love
kundana	love each other
kundira	allow
kundwa	liked
kundwa	loved
kungahaza	enrich
kungahaza	satisfy
kungahaza	fill
kunja	fold up
kunja	wind up
kunja	compress
kunja	zip
kura	grow up
kura	take away
kura	subtract
kura	dislocate
kuramo inda	have an abortion
kuramo inda	miscarry
kurikira	follow
kuricyirwa	followed
kurikiza	apply
kurubana	drag along
kurura	pull
kurura	draw
kurura	drag
kuza	glorify
kuzwa	glorified
kwenda	accept
kwerera	middle-aged
kweta	put on shoes
kwira	fit
kwira	be fitting
kwira	spread
kwira	spill
kwira	enough
kwira	sufficient
kwiriye	worthy
manika	hang up
manika	place above
manuka	descend
manura	take down
manura	lower
manyagura	smash
manyagura	break into pieces
mara	spend
mara	stay
mena	break
mena	spill
mena	empty
meneka	broken
meneka	spilled
meneka	emptied
menya	know
menyeka	familiar
menyekana	known
menyekana	become known
menyekanisha	make known
menyekanisha	publish
menyekanisha	announce
menyera	familiar with
menyera	accustomed to
mera	feel
mesa	wash clothes
minina	strain
minina	filter
mira	swallow
mirwa	swallowed
mirwa	underwater
moka	bark
moka	shout
murika	shine
murika	enlighten
murika	present
murika	show
murikirwa	illuminated
murikirwa	enlightened
mwenyura	smile
nagana	hanging
nagura	sharpen
namba	struggle
nanira	fail
nanirwa	tired
nanirwa	exhausted
nanirwa	incapable
ndira	allow
nebwa	lazy
nesha	triumph
nesha	conquer
netesha	make wet
nezereza	please
nezereza	make someone happy
nezerwa	happy
nezerwa	pleased
nezerwa	joyful
nezeza	please
ngana	equal
nganya	draw
nganya	equalize
niga	choke
nnya	defecate
nogora	gouge
noza	complete
noza	finish
noza	be smooth
nuka	smell bad
nyaga	take by force
nyagirwa	get wet
nyara	urinate
nyeganyega	shaking
nyeganyega	trembling
nyobwa	drunk
nyobwa	consumed
nyuguza	rinse
nyura	pass
nyura	go through
nywa	drink
nywa	smoke
nywana	drink together
oga	swim
oga	bathe
oga	sail
oga	cruise
ogeza	spread
ogeza	publish
ogeza	make known
ohereza	message
omeka	apply
omeka	attach
omeka	paste
omoka	set sail
omongana	wander
omongana	stray
ongera	add
ongera	repeat
ongera	do again
ongera kugerageza	try again
ongera kugerageza	retry
ongorera	whisper
onka	nursing
onona	damage
onona	spoil
ononekara	damaged
ononekara	spoiled
onsa	nurse
onsa	breastfeed
onswa	nursed
onswa	breast-fed
oroha	easy
oroha	simple
oroha	soft
ororoka	reproduce
ororoka	breed
ororoka	multiply
ororoka	increase in number
oshya	tempt
oshyoshya	lure
otsa	burn
otsa	bake
otsa	roast
otswa	burned
otswa	baked
otswa	roasted
oza	clean
oza	wash
pakira	pack
pakira	load
pakurura	unpack
pakurura	unload
perereza	investigate
pfa	die
pfa	just
pfa	simply
pfakara	become widowed
pfuka	cover
pfuka	wrap
pfukama	kneel
pfundika	tie
pfundikira	close
pfundikira	seal
pfundikira	put lid on
pfundura	open
pfundura	untie
pfunya	wrap up
pfura	pluck
pfurika	hide
pfusha ubusa	waste
pima	measure
pima	weigh
pima	examine
pyinagiza	oppress
pyipyinyura	rub
raba	faint
raba	wilt
raba	dry up
rabagirana	shine
rabagirana	reflect light
ragwa	inherit
rahira	vow
rahira	swear
rakara	angry
ramba	live long
ramba	last long
rambarara	lie down
rambarara	stretch out
rambika	put down
rambika	put on
rambika	spread out
rambura	stretch out
rambura	extended
ramuka	spend the night
ramutsa	greet
ramya	worship
ramya	praise
ramya	honour
ramya	adore
randura	pull out
randura	uproot
ranga	make known
ranga	publish
ranga	exhibit
ranga	announce
rangamira	stare at
rangamira	seek after
rangara	be distracted
rangarana	ignore
rangira	finished
rangira	completed
rangiza	finish
rangiza	complete
rangurura	shout
rangurura	raise one’s voice
rara	spend the night
rarama	look up
rarama	raise one’s eyes
raranganya	look around
rarika	invite
rarika	inform
rarikira	lust
rarikira	covet
raruka	leave home
rasa	shoot
rasa	rise
rasira	shoot at
rata	praise
reba	watch
reba	look at
reba	see
reba	view
rebareba	look everywhere
rega	accuse
rega	blame
reka	allow
reka	let
reka	cancel
reka	let’s go
reka	never mind
rekera	stop
rekura	release
rema	create
remba	seriously ill
remba	injured
remba	very sick
remera	heavy
remerwa	heavy-laden
renga	pass
renga	surpass
renga	set
renganya	treat unjustly
renganya	persecute
rengerwa	submerged
rengurana	ridicule
rera	rear
rera	educate
reshya	attract
reshya	woo
ri	be
ribata	trample on
ribwa	eaten
riduka	fall in ruins
riganya	cheat
riganya	trick
riganya	lie
rimbuka	perish
rimbuka	go to hell
rimbuka	be uprooted
rimbura	destroy
rimbura	uproot
rinda	wait for
rinda	watch
rinda	guard
rinda	protect
rindira	wait for
rindira	expect
ringanira	equal
ringanira	even
ringanira	flat
ringaniza	make equal
ringaniza	flat
ringaniza	even
ringaniza	put in order
rira	cry
rira	weep
ririmba	sing
risha	pasture
risha	eat with
roba	fish
robanura	choose
robanura	select
robanura	set aside
robanura	ordain
roga	bewitch
rogoya	interrupt
rohama	drown
rohama	sink
rokoka	saved
rokoka	delivered
rondereza	economical
rondereza	frugal
rondogora	talk too much
rondogora	chatter
rondora	exhaust
rondora	describe
rongora	marry
rongora	have sex
rongora	lead
rongorwa	married
rongorwa	have sex
rorera	stop doing
roreza	taste
rota	dream
rubira	become angry
rubira	violent
ruha	tired
ruka	vomit
ruka	erupt
ruma	bite
rumbuka	be fertile
rumbuka	abundant
rumbura	open
rumbura	blossom
runda	heap
rundarunda	finish
rura	bitter
rusha	greater than
rusha	more than
rusha	surpass
rushiriza	surpass
rushiriza	do more
rushya	annoy
rushya	trouble
rushya	be difficult
rutira	superior to
ruzi	see
ruzi	notice
rwana	fight
rwanya	fight against
rwara	sick
rwara	ill
rwara	sore
rya	eat
rya	bite
ryagagura	nibble
ryama	lie down
ryama	go to bed
ryamana	have sex
ryana	eat together
ryanisha	stir up trouble
ryaryata	itch
ryoha	delicious
ryoha	excellent
ryoza	penalise
sa	like
sa	be similar
sa	resemble
saba	beg
saba	request
saba	ask for
saba	spread
saba	penetrate
saba	invade
saba	envelope
sabana	confide in
sabota	sabotage
saduka	crack
saga	overflow
saguka	left over
saguka	remain
sahura	pillage
sahura	plunder
saka	search
saka	check
sakabaka	shout
sakabaka	cry out
sakara	roof
sakara	build roof
sakuza	shout
sakuza	cry aloud
sakuza	make noise
sama	get pregnant
samba	dying
sambana	commit adultery
sambana	fornicate
sandara	scatter
sandara	be scattered
sanga	join with
sanganira	go to meet
sangira	eat together
sangira	drink together
sangira	share
sara	crazy
sara	mad
sara	lose one’s mind
sarura	harvest
saza	grow old
saza	be old
saza	pass away
sebwa	ground
sebwa	powdered
sebya	speak evil of
sebya	mock
sebya	make fun of
sega	beg
seka	smile
seka	laugh
sekura	bump into
sembura	leaven
semura	translate
senga	pray
senga	worship
sengera	pray for
senya	gather firewood
senya	tear down
senya	demolish
senya	destroy
senya	divorce
senyagurana	fall into ruin
sepfura	hiccup
serabeka	slide
sesa	spread
sesa	disperse
sesa	dismantle
sesa akanguhe	mature
sesekara	overflow
sesekara	spill
sesekara	arrive
sesengura	analyse
sesengura	examine carefully
setsa	make laugh
setsa	be funny
sezera	take leave of
sezera	depart
sezerana	promise
shagara	accompany
shagara	escort
shahura	castrate
shaka	want
shaka	seek
shaka	search
shaka	look for
shakana	marry
shakashaka	research
shakashaka	search diligently
shakira	want
shakira	seek
shakira	search
shanyuka	torn
shanyuka	ripped
shanyura	tear
sharija	charge
sharija	recharge
sharira	sour
shavuza	make sad
shengura	overwhelm
shengura	weigh down
shengura	make sad
shidikanya	doubt
shyika	reach
shima	praise
shima	thank
shima	scratch
shimangira	nail down
shimangira	establish
shimangira	reinforce
shimangira	emphasize
shimira	thank
shimuta	take hostage
shimwa	praised
shinga	decide
shinga	vote
shinga	establish
shinguka	come out
shingura	pull out
shingura	disestablish
shinja	accuse
shinja	blame
shinjwa	accused
shinyagura	torture
shinyagura	mock
shinyagura	ridicule
shira	finish
shira	end
shira	run out
shira	wear out
shisha	well fed
shishikaza	encourage
shishikaza	exhort
shishimura	tear
shishimura	rip
shishura	peel
shishurwa	peeled
shobera	embarass
shobera	discourage
shobera	perplex
shoberwa	in despair
shoberwa	dumbfounded
shoboka	possible
shoboka	manageable
shoboka	friendly
shoboka	affable
shoboka	it is possible
shobora	able to
shobora	can
shonga	melt
shorera	lead
shuka	persuade
shuka	convince
shukashuka	tempt
shukashuka	entice
shukashuka	fool
shuna	bite
shungera	surround
shungera	encircle
shungura	analyze
shungura	sift
shungura	winnow
shushanya	draw
shya	burning
shyenga	silly
shyenga	clown
shyenga	joke around
shyigikira	support
shyigikira	prop up
shyigikira	second a motion
shyika	arrive at
shyika	attain
shyikirana	confide in
shyingiranwa	marry
shyingura	bury
shyingura	archive
shyingurwa	buried
shyingurwa	archived
shyira	put
shyira	place
shyira	bring to
shyiramo umuriro	charge
shyiramo umuriro	recharge
shyuha	hot
shyunguta	whistle
shyushya	heat
siba	erase
siba	delete
siba	absent
siba	abstain
siba	omit
sifura	whistle
siga	leave
siga	forsake
siga	abandon
siga	smear
siga	anoint
siga	complicate
siga irangi	paint
sigara	remain
simbuka	jump
simbura	replace
simbura	substitute
sinda	drunk
singiza	honour
singiza	praise
sinya	sign
sinzira	sleep
sinzira	be asleep
tsitara	stumble
tsitara	trip
sobanuka	understanding
sobanukirwa	understand
sobanura	explain
sobanura	interpret
sobanura	translate
sobanurira	explain to
sobwa	misspeak
sobwa	err
sodoka	tiptoe
sogongera	taste
sogongerwa	tasted
sohoka	go out
sohoka	leave
sohoka	graduate
sohoka	published
sohora	send out
sohora	graduate
sohora	ejaculate
sohora	cum
sohora	fulfilled
sohoza	fulfil
sohoza	complete
sohoza	accomplish
sokoza	comb
soma	read
soma	kiss
soma	sip
somana	kiss each other
somwa	read
somwa	kissed
sona	ring
sona	chime
songera	second a motion
songera	reinforce
songera	support
sonza	hungry
soroma	pick
soromwa	picked
soromwa	gathered
sosoroka	slip out
sosoroka	stick out
sota	skip
sota	blow up
sota	explode
subika	postpone
subika	delay
subikwa	postponed
subikwa	delayed
subira	go back
subira	do again
subira	repeat
subiza	reply
subiza	answer
subiza	cause to return
subizwa	returned
subizwa	repeated
subizwa inyuma	regress
sudira	weld
sudira	solder
suhuza	greet
suhuza umutima	sigh
suka	pour into
suka	braid hair
sukura	clean
sumba	taller than
sumba	greater than
sumira	seize
sumira	grab
sumira	trap
sunika	push
sura	visit
sura	pass gas
sura	fart
suzugura	disobey
suzugura	defy
suzuma	examine
suzuma	scrutinize
suzuma	test
suzumwa	examined
suzumwa	scrutinized
suzumwa	tested
swera	have sexual intercourse
swerwa	have sexual intercourse
sya	grind
sya	crush
sya	powder
ta	lose
ta	leave behind
ta	discard
taba	bury
tabara	aid
tabara	assist
tabara	help
tabarwa	aided
tabarwa	assisted
tabarwa	helped
tabera	just
tabera	impartial
tabuka	tear
tabuka	be torn
tabwa	buried
tabwa	lost
tabwa	left behind
tabwa	discarded
tagaguza	waste
tagaguza	be careless
tagira	not have
taha	go home
taha	be next
taha	next week
taka	yelp
taka	cry out
taka	howl
taka	shriek
taka	embroider
taka	decorate
tamba	sacrifice
tambika	span
tambuka	step
tambuka	advance
tambuka	move on
tambwa	sacrificed
tamenya	not know
tana	divorce
tana	separate
tana	leave each other
tanana	dispersed
tanana	scattered
tandukana	separate
tandukana	divorce
tandukanya	differ
tandukanya	be different
tandukanya	separated
tandukanya	divorced
tandukanya	split
tanga	give
tanga	offer
tanga	allocate
tangara	marvel
tangara	wonder
tangara	be astonished
tangatanga	encircle
tangatanga	surround
tangaza	announce
tangaza	publish
tangaza	amaze
tangaza	astonish
tangazwa	amazed
tangazwa	astonished
tangazwa	announced
tangazwa	published
tangira	begin
tangira	start
tangiza	initiate
tangiza	start
tangiza	cause to begin
tangwa	given
tangwa	offered
tangwa	allocated
tanya	separate
tanyaguza	tear up
tanyaguza	rip up
tashya	greet
tashya	gather firewood
tata	spy
tata	make trouble
tata	provoke
tava	stubborn
tava	obstinate
tava	firm
tava	adamant
tebeza	tuck in
tebuka	come quickly
tega	set trap
tega	trip up
tega	wait for
teganya	prepare
teganya	plan
tegeka	command
tegeka	rule
tegeka	reign
tegereza	wait
tegura	prepare
tegura	plan
tegura	arrange
tegura	configure
teka	cook
tekereza	think about
terefona	telephone
terefona	call
temba	flow
tembera	go about
tembera	walk about
tembera	circulate
tera	plant
tera	lay
tera	beat
tera	cause to do
tera	force
tera	provoke
tera	attack
tera	invade
tera urushinge	inject
terana	gather
terana	come together
teranya	combine
teranya	merge
teranya	add to
teranya	provoke
tereka	place
tereka	put
terekwa	placed
terera	throw at
tererana	abandon
tereranwa	abandoned
tereta	treat
tereta	flirt with
terura	raise
terura	lift up
terurwa	raised
terurwa	lifted up
terwa	planted
terwa	laid
terwa	thrown
terwa	attacked
terwa	invaded
teta	dote
tetesha	spoil
teteshwa	spoiled
tezuka	loosened
tiga	dull
tiga	blunt
tiga	not sharp
tigisa	shake
tigita	shaken
tinda	delay
tindaganya	hesitate
tindaganya	be slow
tinya	afraid
tinya	scared
tinyuka	dare
tinyuka	be fearless
tinyuka	brave
tira	borrow
tirisha	cheat
toba	disturb
toba	trouble
tobora	pierce
toha	get wet
tona	favourite
tonda	queue
tondagura	conjugate
tondekanya	align
tongana	quarrel
tongana	argue
tonganya	scold
tonganya	rebuke
tonora	shell
tonora	peel
tonyanga	drip
tonyanga	fine rain
tonyanga	drizzle
tora	choose
tora	vote
tora	elect
tora	pick
tora	select
toranya	pick out
torwa	chosen
torwa	elected
toteza	persecute
toza	train
toza	coach
tsemba	destroy
tsemba	exterminate
tsika	stop
tsinda	win
tsinda	beat
tsinda	overcome
tsinda	defeat
tsinda	pass
tsinda	succeed
tsindishiriza	justify
tsindishirizwa	justified
tsindwa	fail
tsindwa	be beaten
tsirita	rub hard
tsirita	polish
tsura	push for
tsura	strive for
tubura	increase
tubura	multiply
tuga	bribe
tuka	abuse verbally
tuka	slander
tuka	insult
tukura	red
tuma	send
tuma	cause
tumbika	soak
tumbira	stare
tumburuka	elevate
tumira	invite
tumiza	order
tumvira	disobey
tunga	possess
tunga	own
tungana	perfect
tunganya	clean up
tunganya	organise
tunganya	tidy
tunganya	perfect
tunganya	adjust
tunguka	appear suddenly
tungura	surprise
tungurwa	surprised
tura	live at
tura	dwell in
tura	reside
tura	inhabit
tura	throw down
turana	neighbours
turika	burst
turisha	silence
turitsa	burst
turuka	come from
turuka	originate from
turuna	turn
turwa	occupied
turwa	inhabited
turwa	lived-in
tuza	silent
tuza	quiet
tuza	peaceful
twama	silence
twara	drive
twara	ride
twara	take
twara	carry
twara	lead
twara	take
twika	burn
twika	cremate
twikira	cover
twikirwa	covered
twita	pregnant
tyara	sharp
ubaha	honour
ubaha	respect
ubaha	revere
ubaha	obey
ubahuka	disrespect
ubaka	build
ubama	bend over
ubama	stoop down
ubika	turn upside down
ubikira	lie in ambush
ubura	right
ubura amaso	look up
ugama	shelter
uhagira	bathe
uma	dry
umiza	astonish
umiza	astound
umirwa	astonished
umirwa	astounded
umva	hear
umva	listen
umva	understand
umva	feel
umva	I don’t understand
umvikana	agree
umvikana	understand each other
umvira	obey
umviriza	eavesdrop
umvwa	heard
umvwa	understood
umvwa	felt
unama	bow
unama	bend over
unga	join
unga	connect
unga	reconcile
unga	mediate
unguka	gain
unguka	profit
urira	ascend
urira	climb up
ururuka	descend
ururuka	climb down
uzura	full
uzura	complete
uzura	finished
uzuza	fill
va	come from
va	leak
va	bleed
vana	come with
vana	take from
vanga	mix
vanga	stir
vangura	separate
voma	fetch water
vuga	speak about
vuga	say
vuga	talk
vuga	mix
vugama	row
vugisha	speak to
vugisha	talk to
vugishwa	spoken to
vugurura	amend
vugurura	repair
vugurura	renovate
vuguruza	contradict
vuguruza	disagree
vuka	born
vuma	curse
vumbura	discover
vuna	break
vuna	snap
vuna	defend
vuna	help
vuna	assist
vunagura	smash
vundereza	spit on
vunika	break
vunika	be broken
vunja	change money
vunja	exchange
vunja	change one’s mind
vunura	translate
vunurwa	translated
vuruga	beat
vuruga	whip
vutsa	deprive
vuza	drum
vuza	beat
vuza	play instrument
yabangira ingata	run fast
yabangira ingata	evade
yaga	melt
yaga	be melted
yaza	cause to melt
yoba	lose one’s way
yoba	err
yoba	stray
yobera	perplex
yobera	confuse
yobera	dumbfound
yoberwa	perplexed
yoberwa	mistaken
yoberwa	confused
yoboka	lead
yobora	lead
za	come to
zamuka	climb
zamuka	ascend
zamuka	go up
zamura	lift up
zamura	raise
zana	come with
zana	bring
zanira	bring for
zengera	make dizzy
zengererwa	dizzy
zerera	wander about
zerera	walk about aimlessly
zeyutsa	disappoint
zi	know
zibura	open
zigama	save
zima	extinguished
zima	go out
zimira	go astray
zimira	lose the way
zimira	become lost
zimya	switch off
zimya	extinguish
zinduka	early
zinduka	get up early
zinga	fold
zinga	roll up
zinga	crumple
zinukwa	abandon
zira	forbidden
zira	taboo
zira	oppose
zira	exclude
zirikana	consider
zirikana	think on
zirikana	ponder
zirikana	meditate
ziririza	observe
ziza	blame
ziza	reproach
zuka	be resurrected
zunguza	shake one’s head
zura	resurrect
wanjye	my place
wawe	your home
we	his place
wacu	our place
wacu	our home
wanyu	your home
a mbere	at first
a mbere	first of all
aha	here
ahanini	mainly
ahanini	chiefly
ahanini	primarily
ahanini	mostly
akaramata	forever
akenshi	many times
amara masa	empty-handed
amara masa	in vain
angu	quickly
angu	rapidly
ari uko	on condition that
bene	like
bumoso	on the left
iburasirazuba	east
iburasirazuba	eastward
iburengerazuba	west
iburengerazuba	westward
buryo	on the right
cece	quietly
cece	silently
cya	the night before
cye	little
cye bucye	little by little
cyane	very
cyane	really
cyane	a lot
cyane	too
cyane cyane	especially
cyane cyane	essentially
datinze	soon
ejo	yesterday
ejo	tomorrow
ejobundi	day before yesterday
ejobundi	day after tomorrow
ejo hashize	yesterday
ejo hazaza	tomorrow
ejuru	up
gingo aya	currently
gingo aya	presently
girankana	on purpose
girankana	intentionally
gufi	near
gufi	nearby
habe na gato	not at all
habe na gato	none at all
habe n’imwe	nothing at all
hafi	near
hafi	almost
hafi	come near
